web-scraper-order,web-scraper-start-url,issue,issue-href,article,article-href,title,author,abstract,keywords,publisher,issue_date
"1551277980-1063","https://www.emeraldinsight.com/loi/jsbed","Issue 3","https://www.emeraldinsight.com/toc/jsbed/6/3","Pension rights for part‐time workers – the fog comes down again!","https://www.emeraldinsight.com/doi/pdfplus/10.1108/EUM0000000006687","Pension rights for part‐time workers – the fog comes down again!","James Hanlon  (School of Financial Studies and Law, Sheffield Hallam University, Collegiate Crescent Campus, Sheffield)","Employers can be forgiven for a continuing sense of confusion over pension rights for part‐time workers. While UK tribunals and courts hand down decisions which limit rights to retrospective membership, the European Court of Justice seems to open the door to the maximum number of claims. This paper attempts to clarify the issues and to set out the realities for employers and their advisers.","Pensions, Part‐time work, Law courts, Sex discrimination","MCB UP Ltd","Published: 1999, Start page: 215"
"1551291736-1725","https://www.emeraldinsight.com/loi/jsbed","Issue 2","https://www.emeraldinsight.com/toc/jsbed/21/2","Optimal microfinance loan size and poverty reduction amongst female entrepreneurs in Pakistan","https://www.emeraldinsight.com/doi/full/10.1108/JSBED-03-2014-0043","Optimal microfinance loan size and poverty reduction amongst female entrepreneurs in Pakistan","Samia Mahmood   (Finance, Accounting, Systems and Economics Department, Business School, University of Wolverhampton, Wolverhampton, UK)","null","Pakistan, Education, Microfinance, Family health, Household income, Poverty reduction, Women entrepreneurship","Samia Mahmood, Javed Hussain, Harry Z. Matlay,  (2014)  ""Optimal microfinance loan size and poverty reduction amongst female entrepreneurs in Pakistan"", Journal of Small Business and Enterprise Development, Vol. 21 Issue: 2, pp.231-249, https://doi.org/10.1108/JSBED-03-2014-0043","Published: 2014, Start page: 199"
"1551280620-1554","https://www.emeraldinsight.com/loi/jsbed","Issue 4","https://www.emeraldinsight.com/toc/jsbed/17/4","Entrepreneurship education and plagiarism: tell me lies, tell me sweet little lies","https://www.emeraldinsight.com/doi/full/10.1108/14626001011088778","Entrepreneurship education and plagiarism: tell me lies, tell me sweet little lies","Michele O'Dwyer  (Kemmy Business School, University of Limerick, Limerick, Ireland)","null","Entrepreneurialism, Education, Dishonesty, Trust","Emerald Group Publishing Limited","Published: 2010, Start page: 500"
"1551277859-1029","https://www.emeraldinsight.com/loi/jsbed","Issue 2","https://www.emeraldinsight.com/toc/jsbed/5/2","New venture support: an analysis of mentoring support for new and early stage entrepreneurs","https://www.emeraldinsight.com/doi/pdfplus/10.1108/EUM0000000006763","New venture support: an analysis of mentoring support for new and early stage entrepreneurs","David Deakins  (The Paisley Enterprise Research Centre, University of Paisley)","There has been little research on the processes of providing support to new firm entrepreneurs, and little evaluation of the provision of support to existing small firm entrepreneurs through advice, counselling or consultancy. Despite this lack of research, support for new firm entrepreneurs has been largely withdrawn in England and Wales with the focus of support, through Personal Business Advisers (PBAs), targeted at existing small firm entrepreneurs who employ more than 20 people and have the potential for growth. There are theoretical arguments that suggest support for new start entrepreneurs should be provided on a mentoring basis. If this is provided selectively, then this should have an impact on the management ability and confidence of such new firm starts. This paper reports the results of interviews with new firm entrepreneurs engaged in such a mentoring relationship. The research, undertaken in Scotland, suggests that such a relationship is beneficial. Given the high failure rates of new firm formation, such support could have wider application and benefits. It is suggested that, for certain regions, provision of new firm support can yield positive and worthwhile returns to public sector investment, particularly in a region such as the West of Scotland, characterised by a need to diversify its economy and raise the formation rate of new start small firms and entrepreneurs.","Start‐ups, Small firms, Mentoring, Entrepreneurs, Networking, Scotland","MCB UP Ltd","Published: 1998, Start page: 102"
"1551303992-1914","https://www.emeraldinsight.com/loi/jsbed","Issue 1","https://www.emeraldinsight.com/toc/jsbed/25/1","An exploration of product advantage and its antecedents in SMEs","https://www.emeraldinsight.com/doi/full/10.1108/JSBED-06-2017-0206","An exploration of product advantage and its antecedents in SMEs","Brian Healy,  (Department of Management and Marketing, University of Limerick, Limerick, Ireland)","null","Product advantage, Competitive intensity, Market uncertainty, New product development, Resource uncertainty, Technological uncertainty","Emerald Publishing Limited","Published: 2018, Start page: 2"
"1551301409-1874","https://www.emeraldinsight.com/loi/jsbed","Issue 2","https://www.emeraldinsight.com/toc/jsbed/24/2","Environmental management training for micro and small enterprises: the missing link?","https://www.emeraldinsight.com/doi/full/10.1108/JSBED-09-2016-0145","Environmental management training for micro and small enterprises: the missing link?","Sue Cassells,  (School of Economics and Finance, Massey University, Palmerston North, New Zealand)","This paper explores environmental management training for micro and small enterprises in New Zealand's manufacturing sector and reveals that there is a lack of knowledge of, and participation in, training related to environmental management.","PurposeMicro and small enterprises face growing expectations from stakeholders to behave responsibly in respect of environmental management. However, many continue to exhibit patterns of relative disengagement with both environmental management and associated training. The purpose of this paper is to explore the attitudes and experiences that underpin both.Design/methodology/approachThe paper is based on survey data from 148 owner-managers of micro and small firms in New Zealand’s manufacturing sector. Binary logit regression and non-parametric testing were employed to examine influences on engagement with both environmental management and environmental training.FindingsThere is a lack of knowledge of, and participation in, training related to environmental management. Awareness tends to be from firms already engaged in training; signalling a potential circularity of exposure effect. A distinct division in attitude exists between those who identify with personal responsibility and autonomy as the pathway to responsibility in respect of their firm’s environmental impact and those who cede to the collective actions of other communities to dictate engagement (i.e. industry associations and government).Research limitations/implicationsThe survey is based on the perceptions of the respondents to the survey statements and as such it is a self-assessment.Originality/valueThe paper is one of few that investigate the challenge of securing engagement with training and development in environmental management by micro and small enterprises in the New Zealand context.","Research paper","Published: 2017, Start page: 198"
"1551281942-1574","https://www.emeraldinsight.com/loi/jsbed","Issue 2","https://www.emeraldinsight.com/toc/jsbed/18/2","Entrepreneurship and small business research in French-speaking countries: an introduction","https://www.emeraldinsight.com/doi/full/10.1108/jsbed.2011.27118baa.001","Entrepreneurship and small business research in French-speaking countries: an introduction","Alain Fayolle,","null","Emerald Group Publishing Limited","null","Published: 2011, Start page: 194"
"1551277945-1053","https://www.emeraldinsight.com/loi/jsbed","Issue 1","https://www.emeraldinsight.com/toc/jsbed/6/1","“Ethnic matching” in enterprise support: the process in action","https://www.emeraldinsight.com/doi/pdfplus/10.1108/EUM0000000006670","“Ethnic matching” in enterprise support: the process in action","Monder Ram  (The Enterprise Research Centre, University of Central England in Birmingham Business School, Perry Bar, Birmingham, UK)","Should enterprise support for ethnic minority firms be configured along ethnic lines? This question has confronted many officers engaged in the “enterprise industry”, as they grapple with the task of supporting the increasingly significant phenomenon of ethnic minority entrepreneurship. The situation is complicated by the markedly different experiences of ethnic minority groups in business; the apparently low take‐up of existing services; and wider debates in the policy world encouraging the “integration” of business support activities. Policy initiatives to support ethnic minority businesses have had to engage with such issues; but rarely have they been documented. This paper assesses the experience in a Midlands city of AsCo, a Pakistani‐dominated business group that is attempting to “bridge the gap” between South Asians in the retail sector and the providers of business services. The paper is distinctive in a number of respects: The issue of practical enterprise support provision for South Asian firms has rarely been subject to academic scrutiny. Hence, the paper provides a rare case study of this process in action; The design of the initiative was a genuinely collaborative endeavour involving the researchers, policy makers (the local Training and Enterprise Council) and small businesses in AsCo. Indeed, the research was commissioned by the local Training and Enterprise Council (TEC) and AsCo; A methodologically heterogeneous approach is adopted. This involved in‐depth qualitative interviews with 25 member businesses of AsCo (out of a total membership of 80); ten interviews with non‐members; observations of a number of AsCo executive committee meetings; interviews with key TEC officers; and an insider’s view (the second author) of how the research has actually informed TEC policy.","Ethnic groups, Entrepreneurialism, Business development, Case studies","MCB UP Ltd","Published: 1999, Start page: 7"
"1551294439-1766","https://www.emeraldinsight.com/loi/jsbed","Issue 2","https://www.emeraldinsight.com/toc/jsbed/22/2","Time-based competence and performance: an empirical analysis","https://www.emeraldinsight.com/doi/full/10.1108/JSBED-02-2012-0017","Time-based competence and performance: an empirical analysis","Yahya N. Al Serhan   (College of Business Administration, Prince Sultan University, Riyadh, Saudia Arabia,)","null","Performance, Time-based competitiveness, Time-based manufacturing capability, Time-based manufacturing competence","Yahya N. Al Serhan, Craig C. Julian, Zafar Ahmed,  (2015)  ""Time-based competence and performance: an empirical analysis"", Journal of Small Business and Enterprise Development, Vol. 22 Issue: 2, pp.288-301, https://doi.org/10.1108/JSBED-02-2012-0017","Published: 2015, Start page: 196"
"1551277942-1052","https://www.emeraldinsight.com/loi/jsbed","Issue 1","https://www.emeraldinsight.com/toc/jsbed/6/1","Client perceived value within ISO 9000 consultancy projects","https://www.emeraldinsight.com/doi/pdfplus/10.1108/EUM0000000006669","Client perceived value within ISO 9000 consultancy projects","Ray Murphy  (42 Eastbourne Road, Tooting, London, UK)","For many small and medium‐sized enterprises (SMEs), quality systems, and ISO 9000 (BS EN, ISO 9000‐1, 1994) in particular, are a fact of life. Quality systems are seen as a necessary qualification for trading in certain markets. This can encourage businesses to think of quality only in terms of the cheapest way to obtain a certificate, thereby failing to appreciate the organisational benefits which could be obtained if more resources were applied to the development of effective quality systems. The use of quality consultants is widespread as a means of implementing ISO 9000. The selection and use of consultants can have a major influence on the commercial impact of quality systems developed through their work. Clients do not always appreciate differences between consultants, who all promise registration. As a consequence, a client often places its trust in the cheapest consultant, the first one to come along, or a friend. This paper, which is based on a survey of SMEs registered to ISO 9000, and will be presented at the Small Business and Enterprise Development Conference, 22nd and 23rd March, 1999, explores clients’ perceptions of value through the development of a model of client‐consultant relationships. It is argued that both clients and consultants need to have awareness of these perceptions at different project stages in order to realise the benefits of consultancy relationships. Clients’ perceptions of value are identified in both the experience of the consultancy relationships as well as the outputs. By viewing client‐consultant relationship development as a process, key activities within a project can be investigated, such as initial contracting and ultimate project outputs. The paper concludes that ISO 9000 can act as a bureaucratic constraint on improvement activities, but can also provide an opportunity to develop structures and processes that help to achieve improvements in a controlled manner. It is argued that the achievement of third‐party registration is largely irrelevant to the effectiveness of a quality system in bringing about improvements, although the prospect of registration is often a necessary driver towards instigating a system. It is shown that quality consultancy relationships are perceived by clients as having widely differing outcomes. These can be both favourable and unfavourable, whilst still meeting the objective of registration.","Perception, Value, Quality, ISO 9000, Consultants, Clients","MCB UP Ltd","Published: 1999, Start page: 7"
