web-scraper-order,web-scraper-start-url,bag,bag-href,metin,tarih
"1549391010-442","http://www.hurriyet.com.tr/arama/#/?page=29&key=ibm&where=/&how=Article&platform=/&isDetail=false","Robotlar işimizi elimizden alacak                                 Yaptığınız işi bir robota devredip işsiz kalmaya hazır mısınız? Bilim kurgu ya da akademik bir tartışma değil; somut araştırmalar bunu söylüyor. 2025 gibi erken bir tarihte bugün insanların yaptığı işlerin bir kısmını robotlar ya da makineler devralacak. İşte robotların devralmaya hazırlandığı bazı işler...","http://www.hurriyet.com.tr/kelebek/hayat/robotlar-isimizi-elimizden-alacak-30102322","Yaptığınız işi bir robota devredip işsiz kalmaya hazır mısınız? Bilim kurgu ya da akademik bir tartışma değil; somut araştırmalar bunu söylüyor. 2025 gibi erken bir tarihte bugün insanların yaptığı işlerin bir kısmını robotlar ya da makineler devralacak. İşte robotların devralmaya hazırlandığı bazı işler...","17.09.2015 - 16:59"
"1549419344-674","http://www.hurriyet.com.tr/arama/#/?page=4&key=ibm&where=/&how=Article&platform=/&isDetail=false","ÖRAV yarışmasının sonuçları açıklandı                                 Öğretmen Akademisi Vakfı (ÖRAV) ve ABD merkezli bir teknoloji şirketinin işbirliğiyle düzenlenen ‘Tasarla, Paylaş, Kazandır’ yarışmasının kazananları belli oldu. İlk 5’e giren öğretmenler 6 bin TL ödülü, okullarının bilim derslerine katkı sağlamak için kullanacak.","http://www.hurriyet.com.tr/egitim/orav-yarismasinin-sonuclari-aciklandi-41050803","Öğretmen Akademisi Vakfı (ÖRAV) ve ABD merkezli bir teknoloji şirketinin işbirliğiyle düzenlenen ‘Tasarla, Paylaş, Kazandır’ yarışmasının kazananları belli oldu. İlk 5’e giren öğretmenler 6 bin TL ödülü, okullarının bilim derslerine katkı sağlamak için kullanacak.","13.12.2018 - 11:57"
"1549399421-511","http://www.hurriyet.com.tr/arama/#/?page=22&key=ibm&where=/&how=Article&platform=/&isDetail=false","2017'de dünyayı değiştirecek 10 teknoloji trendi                                 Mobil cihazlar, uygulamalar, sosyal medya ve bağlantı teknolojilerinin birbirine bağlı biçimde yükselişi geçtiğimiz yıl hız kesmedi ve görünen o ki 2017’ye de en önemli yenilikleri bu alanlarda göreceğiz. Bunlara ek olarak sürücüsüz otomobiller, drone’lar, asistan robotlar, yapay zeka, nesnelerin interneti, artırılmış gerçeklik ile sanal gerçeklik 2017’de dünyayı değiştirmeye devam edecek.","http://www.hurriyet.com.tr/teknoloji/2017de-dunyayi-degistirecek-10-teknoloji-trendi-40334937","Mobil cihazlar, uygulamalar, sosyal medya ve bağlantı teknolojilerinin birbirine bağlı biçimde yükselişi geçtiğimiz yıl hız kesmedi ve görünen o ki 2017’ye de en önemli yenilikleri bu alanlarda göreceğiz. Bunlara ek olarak sürücüsüz otomobiller, drone’lar, asistan robotlar, yapay zeka, nesnelerin interneti, artırılmış gerçeklik ile sanal gerçeklik 2017’de dünyayı değiştirmeye devam edecek.","13.01.2017 - 09:42"
"1549377522-143","http://www.hurriyet.com.tr/arama/#/?page=69&key=ibm&where=/&how=Article&platform=/&isDetail=false","Krizdeki Komşu'ya Alman yazılım şirketinden yatırım                                 Yunanistan Başbakanı Antonis Samaras, yabancı yatırımcıları ülkeye çekme çabaları kapsamında Alman Yazılım Şirketi'nin (SAP) Yönetim Kurulu Başkanı Jim Hagemann Snabe'i kabul etti.","http://www.hurriyet.com.tr/ekonomi/krizdeki-komsuya-alman-yazilim-sirketinden-yatirim-22902718","Yunanistan Başbakanı Antonis Samaras, yabancı yatırımcıları ülkeye çekme çabaları kapsamında Alman Yazılım Şirketi'nin (SAP) Yönetim Kurulu Başkanı Jim Hagemann Snabe'i kabul etti.","26.03.2013 - 16:14"
"1549391213-444","http://www.hurriyet.com.tr/arama/#/?page=29&key=ibm&where=/&how=Article&platform=/&isDetail=false","Robotlarla iç içe bir yaşam mümkün mü?                                 Evinizi bir robotla paylaşır mıydınız? Veya bir robotla yan yana çalışır mısınız? İnsanlar artık her ikisini de yapmaya başladı. Bu da, hayatımızın artık giderek önemli bir parçası haline gelen makinelerle olan aşk ve nefret ilişkimizi gösteriyor.","http://www.hurriyet.com.tr/teknoloji/robotlarla-ic-ice-bir-yasam-mumkun-mu-30261276","Evinizi bir robotla paylaşır mıydınız? Veya bir robotla yan yana çalışır mısınız? İnsanlar artık her ikisini de yapmaya başladı. Bu da, hayatımızın artık giderek önemli bir parçası haline gelen makinelerle olan aşk ve nefret ilişkimizi gösteriyor.","08.10.2015 - 08:45"
"1549377882-211","http://www.hurriyet.com.tr/arama/#/?page=59&key=ibm&where=/&how=Article&platform=/&isDetail=false","Molekülün fotoğrafını çekmeyi başardılar                                 IBM Zürih araştırma ekibi, bir kum tanesinden milyonlarca defa küçük olan tek bir molekülün fotoğrafını ilk kez çekmeyi başardı.","http://www.hurriyet.com.tr/dunya/molekulun-fotografini-cekmeyi-basardilar-12375548","IBM Zürih araştırma ekibi, bir kum tanesinden milyonlarca defa küçük olan tek bir molekülün fotoğrafını ilk kez çekmeyi başardı.","30.08.2009 - 00:00"
"1549378228-274","http://www.hurriyet.com.tr/arama/#/?page=49&key=ibm&where=/&how=Article&platform=/&isDetail=false","Robot milli takımı kampta                                 Saha, normal futbol sahasının minyatürü. Takımlar kaleci dahil dört oyuncudan oluşuyor. Kurallar, tanımı biraz farklı da olsa bildiğiniz futbol kuralları. Penaltı da var, faul da. 10 yıldır kendi liglerinde kıran kırana mücadele ediyorlar. Tek hedefleri var: 2050’de Dünya Futbol Şampiyonu olan takımla FIFA kurallarıyla maç yapmak ve kazanmak. Yeni yılda İstanbul’da yapılacak ‘Robot olimpiyatları’ için Boğaziçi Üniversitesi’ndeydik. Kampa giren milli takımımızın antrenmanını izledik","http://www.hurriyet.com.tr/kelebek/robot-milli-takimi-kampta-16570453","Saha, normal futbol sahasının minyatürü. Takımlar kaleci dahil dört oyuncudan oluşuyor. Kurallar, tanımı biraz farklı da olsa bildiğiniz futbol kuralları. Penaltı da var, faul da. 10 yıldır kendi liglerinde kıran kırana mücadele ediyorlar. Tek hedefleri var: 2050’de Dünya Futbol Şampiyonu olan takımla FIFA kurallarıyla maç yapmak ve kazanmak. Yeni yılda İstanbul’da yapılacak ‘Robot olimpiyatları’ için Boğaziçi Üniversitesi’ndeydik. Kampa giren milli takımımızın antrenmanını izledik","19.12.2010 - 00:00"
"1549414007-632","http://www.hurriyet.com.tr/arama/#/?page=9&key=ibm&where=/&how=Article&platform=/&isDetail=false","STEM Anadolu öğrencilerinin projeleri melek yatırımcılardan tam not aldı                                 STEM Anadolu öğrencilerinin projeleri melek yatırımcılardan tam not aldı","http://www.hurriyet.com.tr/stem-anadolu-ogrencilerinin-projeleri-melek-yat-40809157","STEM Anadolu öğrencilerinin projeleri melek yatırımcılardan tam not aldı","null"
"1549377527-144","http://www.hurriyet.com.tr/arama/#/?page=69&key=ibm&where=/&how=Article&platform=/&isDetail=false","Sunucu pazarında pazar lideri                                 Dünya sunucu pazarındaki payı yüzde 30,5’e ulaşan IBM,  pazar lideri oldu. Tüm pazarda yıldan yıla gelir artışı yüzde 17,9 olarak gerçekleşirken, IBM, gelirlerini yüzde 24,5 oranında artırarak, ortalamanın üzerinde performans gösterdi. IBM, sunucu pazarında bugüne kadar gözlemlenen en yüksek artış rakamını sağladı.","http://www.hurriyet.com.tr/teknoloji/sunucu-pazarinda-pazar-lideri-18597661","Dünya sunucu pazarındaki payı yüzde 30,5’e ulaşan IBM,  pazar lideri oldu. Tüm pazarda yıldan yıla gelir artışı yüzde 17,9 olarak gerçekleşirken, IBM, gelirlerini yüzde 24,5 oranında artırarak, ortalamanın üzerinde performans gösterdi. IBM, sunucu pazarında bugüne kadar gözlemlenen en yüksek artış rakamını sağladı.","28.08.2011 - 12:47"
"1549378333-294","http://www.hurriyet.com.tr/arama/#/?page=47&key=ibm&where=/&how=Article&platform=/&isDetail=false","IBM Akademisi ilk mezunlarını verdi","http://www.hurriyet.com.tr/gundem/ibm-akademisi-ilk-mezunlarini-verdi-9254279","","24.06.2008 - 00:00"
