web-scraper-order,web-scraper-start-url,bag,bag-href,metin,tarih
"1549435512-761","http://www.milliyet.com.tr/haberler/ibm?PAGE=35","1500 bilgisayarın işini tek başına yapıyor!","http://www.milliyet.com.tr/1500-bilgisayarin-isini-tek-basina-yapiyor--magazin-503737/","null","06 Şubat 2019, Çarşamba"
"1549477213-1226","http://www.milliyet.com.tr/haberler/ibm?PAGE=10","Teknoloji kadınların ilgi odağı haline geldi","http://www.milliyet.com.tr/teknoloji-kadinlarin-ilgi-odagi-pembenar-detay-yasam-2203699/","null","null"
"1549446596-869","http://www.milliyet.com.tr/haberler/ibm?PAGE=29","Bill Gates’in keşif haritası","http://www.milliyet.com.tr/-/deniz-sipahi/ege/yazardetay/25.10.2008/1007600/default.htm","Milliyet Gazetesi ile Ernst&Young’un birlikte düzenlediği ve CNN Türk’ün de sponsorları arasında olduğu “Yılın Girişimcisi ve Yılın Sosyal Girişimcisi Yarışması”nın tanıtımı nedeniyle Denizli’deydik.
Toplantıya ilgi oldukça yoğundu ama gözler telefonlardaydı.
Bugünün teknolojisi sayesinde cep telefonları mobil bürolar haline gelmiş durumda.
Mailler cepten okunabiliyor; her türlü haber akışı takip edilebiliyor.
Artık toplantılar öncesinde cep telefonlarının kapatılmasıyla ilgili uyarılar yapılıyor. Ama bu kural Denizli’deki toplantıda pek mümkün değildi. Dolar almış başını gitmiş, piyasaların tansiyonu tavan yapmıştı. 
Toplantının sonundaki paneldeki konuşmacı olanlar bile dolar kurunu, borsa endeksini, yurtdışı piyasaları ceplerinden takip ediyorlardı. Çünkü her tansiyon yükselmesinde soruların tonu da değişiyordu.
Denizli ekonomisi ihracatla dönüyor. 
Kurdan uzunca bir süre şikayet eden tekstilciler, şimdi de dövizin beklentilerin üzerinde artması karşısında ne yapacaklarını bilemiyorlardı.
Çünkü piyasalar depresyondaydı ve dövizin çıkması tek başına Denizli için yeterli olmuyordu. 
Avrupa’da talep azalmış, dünya küçülme trendine girmişti.
* * *
Dünya son 50 yılda tam 122 kriz yaşamış.
Bunu IMF söylüyor.
Krizlerin faturası genellikle kamuya ödetilmiş.
Son yaşadıklarımızda da öyle oldu.
Devletler bir bir paketlerini açıklıyor.
3 trilyon doları aşan yardım planı piyasaları toparlayacak ama yine de normale dönüş zaman alacak.
Belki de bu rakamlar yetmeyecek, yenileri açıklanacak.
Ama son birkaç gündür yaşadıklarımızın bir güven bunalımı olduğunu kabul etmeliyiz.
Bir durum analizi yapıp; hasarın büyüklüğünü tespit edip, yeni duruma göre planlar yapmaya başladığımız gün yukarı çıkış başlayacak.
O yüzden başta girişimcilerimiz, işadamlarımız olmak üzere herkesin gelecek planlarını yeniden yapmasında fayda bulunuyor.
* * *
Toplantıda Milliyet Gazetesi yazarı Hurşit Güneş güzel bir söz söyledi.
Dedi ki...
“Microsoft’un kurucusu Bill Gates’in keşif haritası Jules Verne’den daha büyüktü...”
Toplantının gündeminde girişimcilik, akıllarda ise ekonomik kriz vardı.
Ama krizler Bill Gates’in keşif haritasını genişletmesine neden olmamış mıydı?
21 yaşındaki Gates’le sözleşmeyi imzalayan IBM yöneticilerinden biri olan Jack Sams onu şöyle hatırlıyordu:
“Yanıma geldiğinde, Gates’in ofis boy olduğunu sanmıştım. Öyle düşünmek, IBM’in pişman olabileceği bir hataydı. Gates, gençliğinin yaratmış olduğu izlenimden haberdardı ve bu avantajı kullanmak için elinden geleni yaptı.” 
Yine beraber iş yaptığı kişilerden Randall E. Stross ise onunla ilgili şunları söylüyordu.
“Bill Gates, imkansız olduğu sanılan şeyi, somutlaştırır. Pratik bir entelektüeldir. O, sürekli, bilgisayar endüstrisindeki en zeki kişileri arayıp bulmuş ve onları işe almıştır. Microsoft’un başlıca serveti aslında, Bill Gates ve işçilerinin ortak kafaya sahip olmasıdır.” 
Gates’in yaşam öyküsünde birçok kriz ve kriz anında alınan kararlar var.
* * *
Denizli’ye defalarca gittim.
Onlarca toplantıya katıldım; yüzlerce kişiyle konuşup yazılar yazdık, haberler yaptık.
Geriye dönüp baktığımda birbirine yakın konuları konuştuğumuzu, tartıştığımızı görüyorum.
Aynı fotoğraf sadece Denizli için mi geçerli?
Hayır... Çanakkale’de, Balıkesir’de, Uşak’ta... Ve İzmir’de...
Fotoğraf çok farklı değil.
Türkiye geleceği şekillendirecek girişimcileri çıkarmalı, bu insanlara gerekli ortamları hazırlamalı.
Tekstil, mermer gibi sektörler Denizli’nin tek başına kurtuluşu olamaz.
Denizli gibi birçok Anadolu kaplanı da bir dönüşüm, değişim geçirmek zorunda.
O yüzden krizler bazen yeni fırsatlar da yaratabilir. 
Bill Gates’in keşif haritası buna en güzel örnek...","24.10.2008  -          19:47"
"1549472889-1188","http://www.milliyet.com.tr/haberler/ibm?PAGE=12","Logosu neden ısırılmış elma?","http://www.milliyet.com.tr/logosu-neden-isirilmis-elma--teknoloji-galeri-1972982/","null","null"
"1549456526-953","http://www.milliyet.com.tr/haberler/ibm?PAGE=25","Dünyanın en değerli 10 markası...","http://www.milliyet.com.tr/dunyanin-en-degerli-10-markasi--ekonomi-1230957/","İngiliz pazar araştırması ve danışmanlık şirketi MillwardBrown’ın hazırladığı araştırmaya göre, dünyanın en değerli markası internet arama motoru “Google”.
         Fransız ekonomi gazetesi Les Echos’daki habere göre, MillwardBrown’ın bu yıl beşincisini hazırladığı “BRANDZ Top 100 En Değerli Markalar Sıralaması” açıklandı.
         Geçen yıl listenin ilk 10’unda yer alan markalar, sıralamadaki yerleri değişse de listede kalmayı başardı. İlk 10 şirket arasında 4 teknoloji, 2 cep telefonu operatörü ve 2 gıda markası bulunuyor.
         Listenin ilk sırasında internet arama motoru “Google” yer aldı. 2009 yılına göre yüzde 14 oranında değer kazanan Google’ın marka değeri 114,2 milyar dolar düzeyinde bulunuyor.
         Google’ı bilgisayar devi “IBM” takip ediyor. Geçen yıl listenin dördüncü sırasında yer alan IBM’in marka değeri 2009’a göre yüzde 30 oranında değer kazanarak, 86,3 milyar dolara ulaştı.
         Listenin üçüncü sırasında altıncı sıradan yükselen bilgisayar şirketi “Apple” bulunuyor. Geçen yıla göre yüzde 32 oranında değer kazanan marka değerinin 83,1 milyar dolar olduğu belirtiliyor.
         Dördüncü sırada ise yazılım şirketi “Microsoft” yer alıyor. Geçen yıl listenin ikinci sırasında bulunan şirketin marka değeri bu yıl da değişmedi ve 76,3 milyar dolar düzeyinde kaldı.
         Listenin beşinci sırasında alkolsüz içecek devi “Coca Cola” bulunuyor.  2009’da listenin üçüncü sırasında yer alan şirketin marka değeri yüzde 1 oranında değer kazanarak, 67,9 milyar dolara yükseldi.
         “Top 10”da yer alan diğer markalar ve değerleri şöyle:
         -6. sırada McDonald’s        (66 milyar dolar)
         -7. sırada Marlboro          (57 milyar dolar)
         -8. sırada China Mobile      (52,6 milyar dolar)
         -9. sırada General Electric  (45 milyar dolar)
         -10. sırada Vodafone         (44,4 milyar dolar)","28.04.2010                    12:31                      | Son Güncelleme:28.04.2010-12:31"
"1549444586-851","http://www.milliyet.com.tr/haberler/ibm?PAGE=30","IBM’den spam ve virüs sorununa çözüm","http://www.milliyet.com.tr/ibm-den-spam-ve-virus-sorununa-cozum-ekonomi-989157/","IBM’nin Internet Security Systems (ISS) firmasını satın almasının ardından, Lotus ürün portföyüne anti virüs ve anti spam çözümlerini kattığı bildirildi.","10.09.2008                    10:43                      | Son Güncelleme:10.09.2008-10:44"
"1549463913-1075","http://www.milliyet.com.tr/haberler/ibm?PAGE=18","Evrenin sırlarını çözecek müthiş proje","http://www.milliyet.com.tr/evrenin-sirlarini-cozecek-muthis-proje/dunya/dunyadetay/02.04.2012/1522959/default.htm","SKA teleskobunun, 2024 yılında kullanılmaya başlaması planlanıyor. IBM uzmanları teleskop aracılığıyla elde edilecek bilgilerin, günümüzün sıradan bilgisayarlarıyla analiz edilmesinin imkansız olduğu öngörüsü üzerine kolları sıvadı.

Projedeki IBM uzmanlarından Ton Engbersen, “Bu bir bilgisayar sistemini nasıl inşa edebileceğimiz hakkında bir araştırma projesi” dedi.

Hollanda hükümeti, IBM’e ve Hollanda Radyo Astronomi Enstitüsü'ne (ASTRON) sistemin tasarlanması için beş yıllığına 32.9 milyon euroluk hibede bulundu.

BÜYÜK PATLAMA'NIN İPUÇLARINI TOPLAYACAK","02.04.2012  -              11:39 | Son Güncelleme:  02.04.2012-11:41"
"1549473714-1195","http://www.milliyet.com.tr/haberler/ibm?PAGE=12","İşyerinde mutluluğun yollarını öğretiyorlar","http://www.milliyet.com.tr/yazarlar/meral-tamer/isyerinde-mutlulugun-yollarini-ogretiyorlar-1998272/","Kadın Girişimciler Derneği KAGİDER’e üye 3 iş kadını Tijen Mergen, Ferah Lök ve Diana Fındıkoğlu, IBM ve Doğan Medya Grubu gibi büyük şirketlerde çeyrek asıra varan profesyonel deneyimlerini, işyerlerinde mutluluğu artırmak için birleştirdiler.
Bu 3’lünün kurduğu Power Of Happiness Türkiye Platformu, organizasyonlarda mutlu olmanın gücü ve faydalarıyla ilgili farkındalık yaratmayı, şirketler ve çalışanları için en iyi ortak faydayı sağlamayı hedefliyor; bu doğrultuda eğitimler veriyor.
En mutlu Danimarka
Gallup’un araştırmalarına göre işyerlerinde, çalışanların en mutlu olduğu ülke Danimarka. Dolayısıyla “İşte Mutluluk” alanında dünyada önde gelen uzmanlardan biri olan Alexander Kjerulf’un Danimarkalı olması da eşyanın tabiatına uygun. Bilgisayar mühendisi olan Kjerulf, başarılı iş hayatına 2003’te nokta koyarak Danimarka dışındaki ülkelerde daha mutlu bir iş ortamı yaratabilmek için kolları sıvamış. Şimdiye kadar 30’u aşkın ülkede Shell’den Microsoft’a, IKEA’dan LEGO’ya binlerce şirkete mutluluk eğitimi vermiş. Dün kendisini İstanbul’da dinleme imkânı bulduk; işte mutlu olmanın neden önemli olduğu ve nasıl mutlu olunacağına dair bizlere eğlenceli bir ortamda değerli ipuçları verdi.
Mutluluk öğrenilebilir
Sevgili Serra Yılmaz, “Bazı insanların mutluluğa istidadı yok. İsteseler de beceremiyorlar” der. Bendeniz ise tam tersine 20’li yaşlarımdan beri kolay gülebilen, küçücük olaylarla bile doyasıya eğlenebilen şanslı insanlardan biriyim.
Harvard Üniversitesi’nden Prof. Dr. H. Benson’un çalışmaları, olumlu düşüncenin ruh sağlığı üzerinde mükemmel sonuçlar yaratabileceğini kanıtlıyor: “İyimser insanlar daha az hastalanıyor; hasta olduklarında da daha kolay ve çabuk iyileşiyor.”
Yine Harvard ve Cambridge gibi saygın üniversitelerdeki bilim insanlarının son yıllarda yaptıkları araştırmalar, mutluluğun öğrenilebilen bir duygu olduğunu ortaya koyuyor. Özel hayatta mutlu olmak için formül şu: Sorunları gidermeye odaklanmak yerine, hayatında her vesileyle yakalayabileceğin mutlulukları fark etmeye çalış. Bunu kendi başına başaramıyorsan, mutluluk eğitimi al.
Mutluluk bulaşıcıdır
Birleşmiş Milletler ilk kez 2012 yılında 20 Mart’ı Dünya Mutluluk Günü ilan etti; son 2 yıldır Dünya Mutluluk Endeksi de yayınlanıyor. Türkiye’nin 77. sırada yer aldığı bu endekste Latin Amerika halkı, gelir seviyesiyle karşılaştırıldığında diğer toplumlara göre listenin çok daha yukarılarında, yani daha mutlu, eski sosyalist blok ülkeleri ise aynı karşılaştırmada refah düzeyine göre çok daha alt sıralarda yer alıyor.
Milliyet’in “okumayan kız çocuğu kalmasın” diye başlattığı ve kısa sürede başarıya ulaşan “Baba Beni Okula Gönder” kampanyasında birlikte çalıştığımız Tijen Mergen çok hayırlı bir işe soyunuyor. Çünkü bana göre mutluluk bulaşıcıdır ve işyerlerinde eğitim alarak mutlu olmayı öğrenen bireyler, eminim bunu ister istemez özel hayatlarına da taşıyacaklar ve Türkiye’nin, Mutluluk Endeksi’nde şu anda 77. sıradaki yeri, belki de 10-15 basamak yukarılara çıkacaktır.","null"
"1549475091-1207","http://www.milliyet.com.tr/haberler/ibm?PAGE=11","BAU DİPLOMASI FARKLIDIR","http://www.milliyet.com.tr/bau-diplomasi-farklidir/egitim/reklam/29.06.2015/2080648/default.htm","Bahçeşehir Üniversitesi (BAU),Türkiye’de eğitim anlayışına getirdiği yenilikler ile öğrencilerini henüz okul sıralarında iken geleceğe hazırlıyor. BAU öğrencileri yurtdışı kampüslerinde eğitim alıyor, CO-OP Eğitim Modeli ile geleceğini şekillendirecek stajlara dahil oluyor, uzmanlık eğitimlerine katılıyor, birbirinden önemli sosyal sorumluluk projelerinde yer alıyor.Ayrıca lisans seviyesinin dördüncü sınıfında başlayabildiği yüksek lisans eğitimi ile BAU öğrencileri,iş hayatına rakiplerinden bir adım önde başlıyor. BAU Plus sistemi ile tüm bu olanaklardan faydalanan öğrenciler, mezun olduklarında üniversite tarafından hazırlanan özel BAU Plus CV’si ile kariyer basamaklarını hızlı bir şekilde tırmanıyor.","29 Haziran 2015  -              11:14 | Son Güncelleme:"
"1549467881-1145","http://www.milliyet.com.tr/haberler/ibm?PAGE=14","Dijital İK Konferansı’na sayılı günler kaldı!","http://kariyer.milliyet.com.tr/dijital-ik-konferansi-na-sayili/kariyer/detay/1796019/default.htm","“Çeşitliliği Yönetmek” teması altında yapılacak etkinlikte dijitalleşen dünya ile birlikte İK alanında değişim gösteren yeni disiplin ve bakış açıları ele alınacak. İK alanındaki güncel sorunlarına çözüm bulmak isteyenlerin, sınırlı sayıdaki yerlerden birine sahip olmaları için acele etmeleri gerekiyor. Kayıtlar www.dijital-ik.com adresinden yapılabiliyor.","22.11.2013  -            12:02 | Son Güncelleme:  22.11.2013-12:08"
