web-scraper-order,web-scraper-start-url,tarih,link,link-href,intro
"1600195656-1562","https://www.hurriyet.com.tr/arama/#/?page=94&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","3.2.2018","Eşini arabasının altına dinamit koymuştu! Savunmasında herkesi şaşırttı","","ZONGULDAK’ın Ereğli ilçesinde boşanma davası açan eşi Yeliz Ö.’nün (40) otomobilinin altına internette araştırma yaparak, çocuğunun oyuncak arabasının parçaları ve dinamitle hazırladığı bomba düzeneğini yerleştiren Sezai Ö.’nün (41), 20 yıl hapis cezası istemiyle tutuklu yargılanmasına başlandı. Bomba düzeneğini eşini korkutmak amacıyla aracın altına yerleştirdiğini, gerçekçi olsun diye dinamit kullandığını söyleyen Sezai A., ""Doğrudur, ben koydum, koymadım demiyorum. Öldürme kastım kesinlikle yoktu"" dedi."
"1600195820-2310","https://www.hurriyet.com.tr/arama/#/?page=20&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","19.11.2009","Türk kadın profesöre önemli görev","","Avrupa Konseyi, Türkiye’yi daha önce pek çok konuda eleştiren komitesine bir Türk kadın profesör dahil etti."
"1600195484-798","https://www.hurriyet.com.tr/arama/#/?page=171&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","29.3.2017","Dayakçı kocaya örnek ceza","","ADANA’da eşine şiddet uygulayan ve hakkında 'kasten yaralama', 'tehdit', 'eşe karşı eziyet' ve 'cebir ve tehditle kişiyi hürriyetinden yoksun kılma' suçlarından 7'nci Asliye Ceza Mahkemesi'nde dava açılan Nusret Leymunçiçeği (52) hakkında karara varıldı."
"1600195623-1418","https://www.hurriyet.com.tr/arama/#/?page=109&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","3.12.2018","Herkes birbirini o kadar beklemez!","","Aylin Coşkun 14 yıl sonra sevgilisi Volkan Aslan’dan evlenme teklifi aldı... Aylin’in sabrına ve bu mutlu sona ne diyorsunuz? Magazin Konseyi haftanın konuşulan olayları masaya yatırdı."
"1600195776-2103","https://www.hurriyet.com.tr/arama/#/?page=40&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","5.8.2010","Kadına yönelik şiddet çalışması","","Çankaya Belediyesi Sosyal Yardım İşleri Müdürlüğü’ne bağlı Kadın Danışma Merkezi, Sığınma evi çalışmalarından yola çıkarak, “Yerel Yönetimlerde Kadına Yönelik Şiddetle Mücadele Politikaları için Bir Model Önerisi” çalışması hazırladı."
"1600195720-1858","https://www.hurriyet.com.tr/arama/#/?page=65&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","20.11.2016","Arzu'nun bitmeyen çilesi","","Arzu, daha 14’ündeyken evlendirildi. Kocası, kuma getirmek istedi. Arzu karşı çıkınca, pompalı tüfekle vurdu. İki bacağı kesilen, kolları işlevini yitiren 6 çocuk annesi Arzu şimdi 30’unda. Ve hâlâ boşanmaya çalışıyor."
"1600195330-109","https://www.hurriyet.com.tr/arama/#/?page=240&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","9.2.2014","Aile içi şiddete İtalya’dan destek","","Konserleri vardı…
Atladım Danimarka’ya gittim.
Onlar, son yıllarda dünyada fırtına gibi esen dört Diva.
Yani ‘The DİV4S’.
Birbirinden güzel dört kadın.
Misyonları, bir zamanlar Carreras, Pavarotti ve Domingo’nun yaptığı gibi, klasik müziği, operayı, aryaları gençlere, geniş kitlelere sevdirmek...
Yıldız gibi parlıyorlar."
"1600195431-551","https://www.hurriyet.com.tr/arama/#/?page=195&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","5.3.2017","Antalya'da maraton heyecanı","","Antalya'da maraton heyecanı"
"1600195598-1301","https://www.hurriyet.com.tr/arama/#/?page=120&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","5.1.2018","Uyuşturucu... Tecavüz... Hunharca katledilmişti: Sil baştan!","","ANTALYA'da 2009 yılında, 16 yaşındaki Sezgi Kırıt'ın, uyuşturucu verilip, tecavüz edildikten sonra hayatını kaybetmesine ilişkin, çeşitli cezalara mahkum olan 3 sanık, Bölge Adliye Mahkemesine taşınan davada yeniden hakim karşısına çıktı."
"1600195712-1819","https://www.hurriyet.com.tr/arama/#/?page=69&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","9.3.2016","Sekiz ay başında bekledi, genç kızın bilinci yerine gelince gerçek ortaya çıktı","","Komadaki sevgilisinin sekiz ay başında bekleyen adamın, kadının kafa travması geçirmesine sebep olan kişi olduğu ortaya çıktı."
"1600195317-50","https://www.hurriyet.com.tr/arama/#/?page=246&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","19.2.2015","Özgecan dersleri","","Türkiye'yi ayağa kaldıran Özgecan Aslan cinayetinin ardından kadına yönelik şiddet, cinayet ve tecavüzlerin önüne geçilmesi için hazırlanan eylem planına hız verildi."
"1600195703-1780","https://www.hurriyet.com.tr/arama/#/?page=73&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","13.1.2013","Eski sevgilim transseksüel oldu","","Osman Sınav’ın çekimi devam eden filmi ‘Aşk Kırmızı’ aşkı ve sadakati sorguluyor. “Sevişirken gözlerine değen tek adamı reddebilir misin? Aynı anda iki kişi sevebilir misin?” diye soruyor. Cevapları merak ettim. Filmin başrol oyuncuları Nurgül Yeşilçay, Ezgi Asaroğlu ve Tayanç Ayaydın’la üçlü aşk, ihanet ve seks üzerine konuştuk. Nurgül Yeşilçay, esgi sevgililerini anlattı: ""Biri transseksüel, biri verem oldu."""
"1600195538-1037","https://www.hurriyet.com.tr/arama/#/?page=147&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","3.6.2011","Manisa artık daha yeşil","","Hürriyet Hakkımızdır Treni, dün 20’inci durağı Manisa’da Yuntdağı Halkoyunları ekibinin gösterisiyle karşılandı."
"1600195342-153","https://www.hurriyet.com.tr/arama/#/?page=235&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","6.10.2012","Selülit haberleri kadına şiddet","","Ebru Güzel, Elele dergisinin yeni sayısı için Derya Alabora’yla buluştu."
"1600195862-2498","https://www.hurriyet.com.tr/arama/#/?page=1&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","7.9.2020","Kırmızı Oda 2. bölümü ne zaman? Kırmızı Oda'nın yayın günleri","","Dr. Gülseren Budayıcıoğlu'nun kitabı Madalyonun İçi: Bir Psikiyatrin Not Defteri'nden uyarlanan Kırmızı Oda’nın ilk bölümüyle ekranlara merhaba dedi. Kadına şiddet konusunu işleyen Kırmızı Oda’nın 1. Bölümü sosyal medyada da çok konuşuldu. Peki, Kırmızı Oda hangi günler yayınlanıyor? Kırmızı Oda 2. bölümü ne zaman?"
"1600195434-564","https://www.hurriyet.com.tr/arama/#/?page=194&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","12.8.2017","Yardım istediği polisten dayak yedi... O polisin eşi de konuştu...","","İzmir’de motosikletli şahıslar tarafından tacize uğradığını söyleyen iki kadın yardım istedikleri polisler tarafından dövüldü. Güvenlik kameralarına yansıyan görüntüler üzerine emniyet müdürlüğü soruşturma başlattı. Olaydan sonra ‘polise mukavemet’ suçundan Kılıç’a karşı dava açan polis memurunun eşi Öznur Yıldız Yarcel ise Kılıç ve Gürer’e tepki gösterdi."
"1600195389-363","https://www.hurriyet.com.tr/arama/#/?page=214&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","21.9.2016","Boşandığı eşini öldürüp intihar etti","","KÜTAHYA’nın Tavşanlı ilçesinde 42 yaşındaki 2 çocuk babası Fuat Şeker, boşandığı eşi 37 yaşındaki Esma Kamalı’yı evde tabancayla öldürüp, aynı silahla intihar etti."
"1600195740-1944","https://www.hurriyet.com.tr/arama/#/?page=56&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","1.7.2011","5 yeni film vizyonda","","Bu hafta hepsi yabancı olmak üzere 5 yeni film vizyona giriyor."
"1600195747-1980","https://www.hurriyet.com.tr/arama/#/?page=53&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","8.11.2015","İspanya'da kadına yönelik şiddete karşı büyük gösteri","","İspanya'da yaklaşık 380'i kadın örgütü olmak üzere 450'ye yakın sivil toplum örgütü ile işçi sendikaları ve sol görüşlü siyasi partilerin çağrısıyla kadına yönelik şiddete karşı başkent Madrid'de büyük bir gösteri düzenlendi."
"1600195580-1225","https://www.hurriyet.com.tr/arama/#/?page=128&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","25.5.2015","Kadın Ve Kadına Yönelik Yapılan Hak İhlalleri Programı","","KADIN VE KADINA YÖNELİK ŞİDDETE YÖNELİK PANEL VERİLDİ. (PANEL)"
"1600195802-2225","https://www.hurriyet.com.tr/arama/#/?page=28&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","10.3.2012","Kadına şiddet kabul edilemez","","Kadına Şiddet Kabul Edilemez adlı panelde konuşan TBMM Başkan Vekili Meral Akşener, töre cinayetleri adı altında bir yılda 257 kadının katledildiğini söyledi."
"1600195369-280","https://www.hurriyet.com.tr/arama/#/?page=223&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","26.11.2017","Tiyatro oyununda 'kadına yönelik şiddete dur deyin' mesajı","","Tiyatro oyununda 'kadına yönelik şiddete dur deyin' mesajı"
"1600195357-229","https://www.hurriyet.com.tr/arama/#/?page=228&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","25.2.2018","‘Şeytan çıkarma’ bahanesiyle çocuğa cinsel taciz","","İtalya’da “şeytan çıkarma” ayini yapma bahanesiyle aralarında 14 yaşında bir kız çocuğunun da bulunduğu kişilere cinsel tacizde bulunan bir rahip gözaltına alındı."
"1600195758-2022","https://www.hurriyet.com.tr/arama/#/?page=48&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","10.9.2014","Haz anları... Haz anları... Haz anları...","","Birlikte gerçekleştirdiğimiz Yarım Hayatlar 19, tam gaz devam ediyor. Yazdıklarınıza bayıldım, bana enerji verdi, fikir verdi. Benim hayatımda hangileri var diye tek tek kontrol ettim. Sağ olun, var olun. Maillerin bir kısmını sizinle paylaşıyorum. Bizi izlemeye devam edin..."
"1600195565-1154","https://www.hurriyet.com.tr/arama/#/?page=135&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","20.2.2020","Meksika'da toplu mezarda 24 ceset bulundu","","Meksika'nın güneyinde Michoacan eyaletinde bir toplu mezarda 24 ceset bulundu."
"1600195729-1899","https://www.hurriyet.com.tr/arama/#/?page=61&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","9.3.2012","Ya şiddet gören biz olsaydık?","","Ünlü erkekler, 8 Mart Dünya Kadınlar Günü kapsamında hazırlanan “Kadına şiddete el koyuyoruz” temalı fotoğraf sergisi için objektif karşısına geçti."
"1600195328-94","https://www.hurriyet.com.tr/arama/#/?page=241&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","30.5.2014","Ankara'yı edebiyatla sevdim","","“Sonuncu İhtiyar, konuşkan Birinci İhtiyarın aralıksız sorularını kısa yanıtlarla geçiştirir. Birinci İhtiyarın birinciliğine sebep bu denli rahat konuşmasıysa, diğerinin tüm sınavlarda, yarışmalarda ve hayat karşısındaki sonunculuğunun sebebi de suskunluğudur. Kimi sıfatlar sırtımıza yüktür.”"
"1600195346-173","https://www.hurriyet.com.tr/arama/#/?page=233&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","18.1.2013","Ezgi Mola:Kadınlar seksi daha rahat konuşuyor  Şahan Gökbakar: Biz kesinlikle seks konuşmuyoruz","","Bir film yaptı, insanlar ikiye bölündü. Recep İvedik’i sevenlerle, sevmeyenler kesin çizgiyle ayrıldı.Şimdi yepyeni bir filmle Celal ve Ceren ile karşınızda Şahan Gökbakar. Yine komik, yine doğal, yine argo. Şahan Gökbakar ve Ezgi Mola’yla buluştuk, gülmekten zor konuştuk."
"1600195822-2312","https://www.hurriyet.com.tr/arama/#/?page=19&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","1.4.2014","25 bin kadın 'dayak var' dedi","","2011 yılında hayata geçirilen Gelincik Projesi kapsamında yaklaşık 25 bin kadının ve çocuğun şiddet gördüğü gerekçesiyle yardım talebinde bulundu. Ankara Barosu Başkanı Sema Aksoy, “Kadına yönelik şiddetle mücadelede çare toplumsal seferberlikten geçiyor” dedi."
"1600195458-679","https://www.hurriyet.com.tr/arama/#/?page=183&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","10.12.2017","Üniversitelilerden 'kadına şiddete hayır' gösterisi","","Eskişehir Osmangazi Üniversitesi’nde (ESOGÜ) okuyan bir grup öğrenci, ayaklarına zincir bağlayıp ’Kadına yönelik şiddete hayır’ adı altında sokakta gösteri sundu. Vatandaşların ilgi gösterdiği etkinliğin görüntüleri video paylaşım sitesinde de paylaşıldı."
"1600195674-1646","https://www.hurriyet.com.tr/arama/#/?page=86&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","17.7.2015","Mezopotamya'nın acılı bebekleri","","Şair Murathan Mungan, Mardin’i anlatırken, “Orası benim çocukluk gökyüzüm, yıldızları ilk saydığım yer. İçinde büyüdüğüm coğrafya çok çetindi. Bana dünyanın hiç kolay bir yer olmadığını erken öğretti” demişti. Mardin büyülü bir yer. Ama şairin de dediği gibi çok sert, çok çetin. Özellikle o güzelim taş evlerin içine hapsedilen, okutulmayan, dövülen, aşağılanan kadınlar için. Oradaydık. Mardin’in acılı kadınlarıyla tanıştık, hayallerini erkeklerin eline teslim etmekten bir terapi seansında vazgeçenlerle dertleştik. Sabancı Vakfı ve MOKİD’in (Mardin Kadınlar Ortak İşbirliği Derneği) birlikte yürüttüğü ‘Mezopotamya Bebekleri’ projesiyle bir araya gelen kadınlar, yaşadıklarını bez bebekler yaparak dışavurdu. Adlarını çok anlaşılır nedenlerle saklı tuttuk, bebeklerin hikâyelerine kulak verdik."
"1600195740-1941","https://www.hurriyet.com.tr/arama/#/?page=56&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","1.12.2013","Bahçeli Balıkesir'de konuştu","","MHP Genel Başkanı Devlet Bahçeli, ""İktidar bu seçimlerde ikaz edilmeli ve bitişin başlangıcını yaşamalıdır. Aksi takdirde vahim hadiseler hemen kapımızdadır. Önümüzdeki seçimlerde Başbakan dersini almalıdır"" dedi."
"1600195623-1411","https://www.hurriyet.com.tr/arama/#/?page=109&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","28.9.2017","Çocukların ikinci şansı","","Lifetime kanalı, hakları ellerinden alınan çocuklara yardım eli uzatmak amacıyla sosyal sorumluluk projesi hayata geçirdi. “İkinci Şans” adlı projenin yüzü Meryem Uzerli oldu. Detayları MCD Medya Başkanı ve Lifetime Türkiye Kurucu Ortağı Esra Oflaz Güvenkaya ve Uzerli’den dinledik."
"1600195562-1147","https://www.hurriyet.com.tr/arama/#/?page=136&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","19.4.2013","Amerika’dan Türkiye’ye en sert insan hakları eleştirisi","","Amerikan Dışişleri Bakanlığı, Avrupa Parlamentosu’nun Türkiye için olumlu ifadelerin bulunduğu 2012 İlerleme Raporu’nun kabul ettiği gün, Ankara’yı insan hakları konusunda şimdiye kadar hiç olmadığı kadar sert ve net bir tonda eleştirdi."
